id,instant_kl,accum_kl,train_loss,kl_loss,grad_norm,truncated,resp_len
68,0.102029,0.101944,0.101944,0.048133,0.070080,0.882812,4014.613281
69,0.101329,0.101288,0.101288,0.049769,0.075881,0.878906,3887.695312
70,0.110983,0.110952,0.110952,0.053827,0.077052,0.910156,4007.406250
71,0.112391,0.112343,0.112343,0.052785,0.073997,0.882812,4000.363281
72,0.105350,0.105291,0.105291,0.055221,0.072637,0.910156,3994.109375
73,0.113279,0.113240,0.113240,0.053665,0.075818,0.921875,4010.363281
74,0.103174,0.103177,0.103177,0.052726,0.069568,0.910156,4030.734375
75,0.101492,0.101378,0.101378,0.052042,0.076443,0.894531,3973.566406
76,0.103384,0.103337,0.103337,0.051601,0.071086,0.925781,4001.718750
77,0.101608,0.101517,0.101517,0.051956,0.069213,0.929688,3996.476562
78,0.104271,0.104171,0.104171,0.052899,0.118770,0.886719,3991.992188
79,0.107580,0.107542,0.107542,0.053297,0.072356,0.929688,4035.941406
80,0.107742,0.107719,0.107719,0.052327,0.072107,0.964844,4055.542969
81,0.104800,0.104792,0.104792,0.053925,0.071240,0.906250,4000.070312
